x1,; x2,; x3,; x4,; x5,; x6,; x7,; x8,; x9,; x10,; x11,; x12,; x13,; x14,; x15,; x16,; x17,; x18,; x19,; x20,; x21,; x22,; x23,; x24,; x25,; x26,; x27,; x28,; x29,; x30,; x31,; x32,; x33,; x34,; x35,; x36,; x37,; x38,; x39,; x40,; x41,; x42,; x43,; x44,; x45,; x46,; x47,; x48,; x49,; x50,; x51,; x52,; x53,; x54,; x55,; x56,; x57,; x58,; x59,; x60,; x61,; x62,; x63,; x64,; x65,; x66,; x67,; x68,; x69,; x70,; x71,; x72,; x73,; x74,; x75,; x76,; x77,; x78,; x79,; x80,; x81,; x82,; x83,; x84,; x85,; x86,; x87,; x88,; x89,; x90,; x91,; x92,; x93,; x94,; x95,; x96,; x97,; x98,; x99,; x100,; x101,; x102,; x103,; x104,; x105,; x106,; x107,; x108,; x109,; x110,; x111,; x112,; x113,; x114,; x115,; x116,; x117,; x118,; x119,; x120,; y,; 
 1,09094;1,09095;1,091;1,0908;1,09085;1,09106;1,09112;1,09107;1,09098;1,09097;1,09098;1,09107;1,09103;1,09103;1,09098;1,09087;1,0909;1,09087;1,09088;1,09083;1,09083;1,09073;1,09073;1,09072;1,09062;1,09059;1,09056;1,09071;1,09067;1,09056;1,09057;1,09055;1,09055;1,09063;1,09054;1,09054;1,09053;1,09054;1,09048;1,09044;1,09043;1,09039;1,09039;1,09033;1,09033;1,09027;1,09024;1,09023;1,0903;1,09034;1,09038;1,09037;1,09034;1,09036;1,09034;1,09035;1,09038;1,09024;1,09023;1,09027;1,09025;1,09019;1,09023;1,09023;1,09019;1,0902;1,09026;1,09021;1,09021;1,09021;1,09016;1,09016;1,09026;1,09029;1,09032;1,09032;1,09046;1,0904;1,09039;1,09034;1,09014;1,0902;1,09008;1,09013;1,09014;1,09009;1,08992;1,08984;1,08989;1,08984;1,08985;1,08979;1,08978;1,08967;1,08996;1,09001;1,08987;1,08988;1,08988;1,08989;1,08988;1,08988;1,08987;1,08996;1,08992;1,08997;1,08998;1,08998;1,09007;1,09001;1,08995;1,08994;1,08977;1,0895;1,08937;1,08947;1,08948;1,08963;1,08946;1,08941;1,08904; 
 1,09095;1,091;1,0908;1,09085;1,09106;1,09112;1,09107;1,09098;1,09097;1,09098;1,09107;1,09103;1,09103;1,09098;1,09087;1,0909;1,09087;1,09088;1,09083;1,09083;1,09073;1,09073;1,09072;1,09062;1,09059;1,09056;1,09071;1,09067;1,09056;1,09057;1,09055;1,09055;1,09063;1,09054;1,09054;1,09053;1,09054;1,09048;1,09044;1,09043;1,09039;1,09039;1,09033;1,09033;1,09027;1,09024;1,09023;1,0903;1,09034;1,09038;1,09037;1,09034;1,09036;1,09034;1,09035;1,09038;1,09024;1,09023;1,09027;1,09025;1,09019;1,09023;1,09023;1,09019;1,0902;1,09026;1,09021;1,09021;1,09021;1,09016;1,09016;1,09026;1,09029;1,09032;1,09032;1,09046;1,0904;1,09039;1,09034;1,09014;1,0902;1,09008;1,09013;1,09014;1,09009;1,08992;1,08984;1,08989;1,08984;1,08985;1,08979;1,08978;1,08967;1,08996;1,09001;1,08987;1,08988;1,08988;1,08989;1,08988;1,08988;1,08987;1,08996;1,08992;1,08997;1,08998;1,08998;1,09007;1,09001;1,08995;1,08994;1,08977;1,0895;1,08937;1,08947;1,08948;1,08963;1,08946;1,08941;1,08948;1,08916; 
 1,091;1,0908;1,09085;1,09106;1,09112;1,09107;1,09098;1,09097;1,09098;1,09107;1,09103;1,09103;1,09098;1,09087;1,0909;1,09087;1,09088;1,09083;1,09083;1,09073;1,09073;1,09072;1,09062;1,09059;1,09056;1,09071;1,09067;1,09056;1,09057;1,09055;1,09055;1,09063;1,09054;1,09054;1,09053;1,09054;1,09048;1,09044;1,09043;1,09039;1,09039;1,09033;1,09033;1,09027;1,09024;1,09023;1,0903;1,09034;1,09038;1,09037;1,09034;1,09036;1,09034;1,09035;1,09038;1,09024;1,09023;1,09027;1,09025;1,09019;1,09023;1,09023;1,09019;1,0902;1,09026;1,09021;1,09021;1,09021;1,09016;1,09016;1,09026;1,09029;1,09032;1,09032;1,09046;1,0904;1,09039;1,09034;1,09014;1,0902;1,09008;1,09013;1,09014;1,09009;1,08992;1,08984;1,08989;1,08984;1,08985;1,08979;1,08978;1,08967;1,08996;1,09001;1,08987;1,08988;1,08988;1,08989;1,08988;1,08988;1,08987;1,08996;1,08992;1,08997;1,08998;1,08998;1,09007;1,09001;1,08995;1,08994;1,08977;1,0895;1,08937;1,08947;1,08948;1,08963;1,08946;1,08941;1,08948;1,08932;1,0891; 
 1,0908;1,09085;1,09106;1,09112;1,09107;1,09098;1,09097;1,09098;1,09107;1,09103;1,09103;1,09098;1,09087;1,0909;1,09087;1,09088;1,09083;1,09083;1,09073;1,09073;1,09072;1,09062;1,09059;1,09056;1,09071;1,09067;1,09056;1,09057;1,09055;1,09055;1,09063;1,09054;1,09054;1,09053;1,09054;1,09048;1,09044;1,09043;1,09039;1,09039;1,09033;1,09033;1,09027;1,09024;1,09023;1,0903;1,09034;1,09038;1,09037;1,09034;1,09036;1,09034;1,09035;1,09038;1,09024;1,09023;1,09027;1,09025;1,09019;1,09023;1,09023;1,09019;1,0902;1,09026;1,09021;1,09021;1,09021;1,09016;1,09016;1,09026;1,09029;1,09032;1,09032;1,09046;1,0904;1,09039;1,09034;1,09014;1,0902;1,09008;1,09013;1,09014;1,09009;1,08992;1,08984;1,08989;1,08984;1,08985;1,08979;1,08978;1,08967;1,08996;1,09001;1,08987;1,08988;1,08988;1,08989;1,08988;1,08988;1,08987;1,08996;1,08992;1,08997;1,08998;1,08998;1,09007;1,09001;1,08995;1,08994;1,08977;1,0895;1,08937;1,08947;1,08948;1,08963;1,08946;1,08941;1,08948;1,08932;1,08917;1,089; 
 1,09085;1,09106;1,09112;1,09107;1,09098;1,09097;1,09098;1,09107;1,09103;1,09103;1,09098;1,09087;1,0909;1,09087;1,09088;1,09083;1,09083;1,09073;1,09073;1,09072;1,09062;1,09059;1,09056;1,09071;1,09067;1,09056;1,09057;1,09055;1,09055;1,09063;1,09054;1,09054;1,09053;1,09054;1,09048;1,09044;1,09043;1,09039;1,09039;1,09033;1,09033;1,09027;1,09024;1,09023;1,0903;1,09034;1,09038;1,09037;1,09034;1,09036;1,09034;1,09035;1,09038;1,09024;1,09023;1,09027;1,09025;1,09019;1,09023;1,09023;1,09019;1,0902;1,09026;1,09021;1,09021;1,09021;1,09016;1,09016;1,09026;1,09029;1,09032;1,09032;1,09046;1,0904;1,09039;1,09034;1,09014;1,0902;1,09008;1,09013;1,09014;1,09009;1,08992;1,08984;1,08989;1,08984;1,08985;1,08979;1,08978;1,08967;1,08996;1,09001;1,08987;1,08988;1,08988;1,08989;1,08988;1,08988;1,08987;1,08996;1,08992;1,08997;1,08998;1,08998;1,09007;1,09001;1,08995;1,08994;1,08977;1,0895;1,08937;1,08947;1,08948;1,08963;1,08946;1,08941;1,08948;1,08932;1,08917;1,08932;1,08915; 
 1,09106;1,09112;1,09107;1,09098;1,09097;1,09098;1,09107;1,09103;1,09103;1,09098;1,09087;1,0909;1,09087;1,09088;1,09083;1,09083;1,09073;1,09073;1,09072;1,09062;1,09059;1,09056;1,09071;1,09067;1,09056;1,09057;1,09055;1,09055;1,09063;1,09054;1,09054;1,09053;1,09054;1,09048;1,09044;1,09043;1,09039;1,09039;1,09033;1,09033;1,09027;1,09024;1,09023;1,0903;1,09034;1,09038;1,09037;1,09034;1,09036;1,09034;1,09035;1,09038;1,09024;1,09023;1,09027;1,09025;1,09019;1,09023;1,09023;1,09019;1,0902;1,09026;1,09021;1,09021;1,09021;1,09016;1,09016;1,09026;1,09029;1,09032;1,09032;1,09046;1,0904;1,09039;1,09034;1,09014;1,0902;1,09008;1,09013;1,09014;1,09009;1,08992;1,08984;1,08989;1,08984;1,08985;1,08979;1,08978;1,08967;1,08996;1,09001;1,08987;1,08988;1,08988;1,08989;1,08988;1,08988;1,08987;1,08996;1,08992;1,08997;1,08998;1,08998;1,09007;1,09001;1,08995;1,08994;1,08977;1,0895;1,08937;1,08947;1,08948;1,08963;1,08946;1,08941;1,08948;1,08932;1,08917;1,08932;1,08942;1,08925; 
 1,09112;1,09107;1,09098;1,09097;1,09098;1,09107;1,09103;1,09103;1,09098;1,09087;1,0909;1,09087;1,09088;1,09083;1,09083;1,09073;1,09073;1,09072;1,09062;1,09059;1,09056;1,09071;1,09067;1,09056;1,09057;1,09055;1,09055;1,09063;1,09054;1,09054;1,09053;1,09054;1,09048;1,09044;1,09043;1,09039;1,09039;1,09033;1,09033;1,09027;1,09024;1,09023;1,0903;1,09034;1,09038;1,09037;1,09034;1,09036;1,09034;1,09035;1,09038;1,09024;1,09023;1,09027;1,09025;1,09019;1,09023;1,09023;1,09019;1,0902;1,09026;1,09021;1,09021;1,09021;1,09016;1,09016;1,09026;1,09029;1,09032;1,09032;1,09046;1,0904;1,09039;1,09034;1,09014;1,0902;1,09008;1,09013;1,09014;1,09009;1,08992;1,08984;1,08989;1,08984;1,08985;1,08979;1,08978;1,08967;1,08996;1,09001;1,08987;1,08988;1,08988;1,08989;1,08988;1,08988;1,08987;1,08996;1,08992;1,08997;1,08998;1,08998;1,09007;1,09001;1,08995;1,08994;1,08977;1,0895;1,08937;1,08947;1,08948;1,08963;1,08946;1,08941;1,08948;1,08932;1,08917;1,08932;1,08942;1,08942;1,08936; 
 1,09107;1,09098;1,09097;1,09098;1,09107;1,09103;1,09103;1,09098;1,09087;1,0909;1,09087;1,09088;1,09083;1,09083;1,09073;1,09073;1,09072;1,09062;1,09059;1,09056;1,09071;1,09067;1,09056;1,09057;1,09055;1,09055;1,09063;1,09054;1,09054;1,09053;1,09054;1,09048;1,09044;1,09043;1,09039;1,09039;1,09033;1,09033;1,09027;1,09024;1,09023;1,0903;1,09034;1,09038;1,09037;1,09034;1,09036;1,09034;1,09035;1,09038;1,09024;1,09023;1,09027;1,09025;1,09019;1,09023;1,09023;1,09019;1,0902;1,09026;1,09021;1,09021;1,09021;1,09016;1,09016;1,09026;1,09029;1,09032;1,09032;1,09046;1,0904;1,09039;1,09034;1,09014;1,0902;1,09008;1,09013;1,09014;1,09009;1,08992;1,08984;1,08989;1,08984;1,08985;1,08979;1,08978;1,08967;1,08996;1,09001;1,08987;1,08988;1,08988;1,08989;1,08988;1,08988;1,08987;1,08996;1,08992;1,08997;1,08998;1,08998;1,09007;1,09001;1,08995;1,08994;1,08977;1,0895;1,08937;1,08947;1,08948;1,08963;1,08946;1,08941;1,08948;1,08932;1,08917;1,08932;1,08942;1,08942;1,08941;1,08936; 
 1,09098;1,09097;1,09098;1,09107;1,09103;1,09103;1,09098;1,09087;1,0909;1,09087;1,09088;1,09083;1,09083;1,09073;1,09073;1,09072;1,09062;1,09059;1,09056;1,09071;1,09067;1,09056;1,09057;1,09055;1,09055;1,09063;1,09054;1,09054;1,09053;1,09054;1,09048;1,09044;1,09043;1,09039;1,09039;1,09033;1,09033;1,09027;1,09024;1,09023;1,0903;1,09034;1,09038;1,09037;1,09034;1,09036;1,09034;1,09035;1,09038;1,09024;1,09023;1,09027;1,09025;1,09019;1,09023;1,09023;1,09019;1,0902;1,09026;1,09021;1,09021;1,09021;1,09016;1,09016;1,09026;1,09029;1,09032;1,09032;1,09046;1,0904;1,09039;1,09034;1,09014;1,0902;1,09008;1,09013;1,09014;1,09009;1,08992;1,08984;1,08989;1,08984;1,08985;1,08979;1,08978;1,08967;1,08996;1,09001;1,08987;1,08988;1,08988;1,08989;1,08988;1,08988;1,08987;1,08996;1,08992;1,08997;1,08998;1,08998;1,09007;1,09001;1,08995;1,08994;1,08977;1,0895;1,08937;1,08947;1,08948;1,08963;1,08946;1,08941;1,08948;1,08932;1,08917;1,08932;1,08942;1,08942;1,08941;1,08946;1,08933; 
 1,09097;1,09098;1,09107;1,09103;1,09103;1,09098;1,09087;1,0909;1,09087;1,09088;1,09083;1,09083;1,09073;1,09073;1,09072;1,09062;1,09059;1,09056;1,09071;1,09067;1,09056;1,09057;1,09055;1,09055;1,09063;1,09054;1,09054;1,09053;1,09054;1,09048;1,09044;1,09043;1,09039;1,09039;1,09033;1,09033;1,09027;1,09024;1,09023;1,0903;1,09034;1,09038;1,09037;1,09034;1,09036;1,09034;1,09035;1,09038;1,09024;1,09023;1,09027;1,09025;1,09019;1,09023;1,09023;1,09019;1,0902;1,09026;1,09021;1,09021;1,09021;1,09016;1,09016;1,09026;1,09029;1,09032;1,09032;1,09046;1,0904;1,09039;1,09034;1,09014;1,0902;1,09008;1,09013;1,09014;1,09009;1,08992;1,08984;1,08989;1,08984;1,08985;1,08979;1,08978;1,08967;1,08996;1,09001;1,08987;1,08988;1,08988;1,08989;1,08988;1,08988;1,08987;1,08996;1,08992;1,08997;1,08998;1,08998;1,09007;1,09001;1,08995;1,08994;1,08977;1,0895;1,08937;1,08947;1,08948;1,08963;1,08946;1,08941;1,08948;1,08932;1,08917;1,08932;1,08942;1,08942;1,08941;1,08946;1,08937;1,08933; 
 1,09098;1,09107;1,09103;1,09103;1,09098;1,09087;1,0909;1,09087;1,09088;1,09083;1,09083;1,09073;1,09073;1,09072;1,09062;1,09059;1,09056;1,09071;1,09067;1,09056;1,09057;1,09055;1,09055;1,09063;1,09054;1,09054;1,09053;1,09054;1,09048;1,09044;1,09043;1,09039;1,09039;1,09033;1,09033;1,09027;1,09024;1,09023;1,0903;1,09034;1,09038;1,09037;1,09034;1,09036;1,09034;1,09035;1,09038;1,09024;1,09023;1,09027;1,09025;1,09019;1,09023;1,09023;1,09019;1,0902;1,09026;1,09021;1,09021;1,09021;1,09016;1,09016;1,09026;1,09029;1,09032;1,09032;1,09046;1,0904;1,09039;1,09034;1,09014;1,0902;1,09008;1,09013;1,09014;1,09009;1,08992;1,08984;1,08989;1,08984;1,08985;1,08979;1,08978;1,08967;1,08996;1,09001;1,08987;1,08988;1,08988;1,08989;1,08988;1,08988;1,08987;1,08996;1,08992;1,08997;1,08998;1,08998;1,09007;1,09001;1,08995;1,08994;1,08977;1,0895;1,08937;1,08947;1,08948;1,08963;1,08946;1,08941;1,08948;1,08932;1,08917;1,08932;1,08942;1,08942;1,08941;1,08946;1,08937;1,08921;1,08937; 
