x1,; x2,; x3,; x4,; x5,; x6,; x7,; x8,; x9,; x10,; x11,; x12,; x13,; x14,; x15,; x16,; x17,; x18,; x19,; x20,; x21,; x22,; x23,; x24,; x25,; x26,; x27,; x28,; x29,; x30,; x31,; x32,; x33,; x34,; x35,; x36,; x37,; x38,; x39,; x40,; x41,; x42,; x43,; x44,; x45,; x46,; x47,; x48,; x49,; x50,; x51,; x52,; x53,; x54,; x55,; x56,; x57,; x58,; x59,; x60,; x61,; x62,; x63,; x64,; x65,; x66,; x67,; x68,; x69,; x70,; x71,; x72,; x73,; x74,; x75,; x76,; x77,; x78,; x79,; x80,; x81,; x82,; x83,; x84,; x85,; x86,; x87,; x88,; x89,; x90,; x91,; x92,; x93,; x94,; x95,; x96,; x97,; x98,; x99,; x100,; x101,; x102,; x103,; x104,; x105,; x106,; x107,; x108,; x109,; x110,; x111,; x112,; x113,; x114,; x115,; x116,; x117,; x118,; x119,; x120,; y,; 
 1,08521;1,08563;1,08624;1,0861;1,08642;1,08659;1,08714;1,08703;1,08726;1,08708;1,08735;1,08759;1,08758;1,08736;1,08712;1,08671;1,08662;1,08668;1,08662;1,08678;1,08654;1,08643;1,08663;1,08634;1,08634;1,08627;1,08626;1,08655;1,08649;1,08668;1,0863;1,08659;1,08662;1,08663;1,08677;1,08682;1,08672;1,08678;1,08648;1,08655;1,08658;1,08637;1,0863;1,08604;1,08544;1,08515;1,08498;1,08467;1,08476;1,08507;1,08486;1,0849;1,0848;1,08478;1,08473;1,0848;1,08433;1,08368;1,08359;1,08366;1,08344;1,08367;1,08375;1,084;1,0838;1,08338;1,08338;1,08337;1,08383;1,08388;1,08409;1,08422;1,08434;1,08456;1,08451;1,08438;1,08476;1,0847;1,0844;1,08367;1,08373;1,08359;1,08369;1,08354;1,08382;1,084;1,08405;1,08396;1,08366;1,08365;1,08376;1,0839;1,08421;1,08388;1,08386;1,08392;1,08386;1,08391;1,08406;1,08429;1,0843;1,08451;1,08429;1,08422;1,08447;1,08445;1,08429;1,08434;1,08413;1,08446;1,08473;1,08503;1,08503;1,08506;1,08505;1,08519;1,08543;1,08547;1,08574;1,08559;1,08552; 
 1,08563;1,08624;1,0861;1,08642;1,08659;1,08714;1,08703;1,08726;1,08708;1,08735;1,08759;1,08758;1,08736;1,08712;1,08671;1,08662;1,08668;1,08662;1,08678;1,08654;1,08643;1,08663;1,08634;1,08634;1,08627;1,08626;1,08655;1,08649;1,08668;1,0863;1,08659;1,08662;1,08663;1,08677;1,08682;1,08672;1,08678;1,08648;1,08655;1,08658;1,08637;1,0863;1,08604;1,08544;1,08515;1,08498;1,08467;1,08476;1,08507;1,08486;1,0849;1,0848;1,08478;1,08473;1,0848;1,08433;1,08368;1,08359;1,08366;1,08344;1,08367;1,08375;1,084;1,0838;1,08338;1,08338;1,08337;1,08383;1,08388;1,08409;1,08422;1,08434;1,08456;1,08451;1,08438;1,08476;1,0847;1,0844;1,08367;1,08373;1,08359;1,08369;1,08354;1,08382;1,084;1,08405;1,08396;1,08366;1,08365;1,08376;1,0839;1,08421;1,08388;1,08386;1,08392;1,08386;1,08391;1,08406;1,08429;1,0843;1,08451;1,08429;1,08422;1,08447;1,08445;1,08429;1,08434;1,08413;1,08446;1,08473;1,08503;1,08503;1,08506;1,08505;1,08519;1,08543;1,08547;1,08574;1,08559;1,08631;1,08564; 
 1,08624;1,0861;1,08642;1,08659;1,08714;1,08703;1,08726;1,08708;1,08735;1,08759;1,08758;1,08736;1,08712;1,08671;1,08662;1,08668;1,08662;1,08678;1,08654;1,08643;1,08663;1,08634;1,08634;1,08627;1,08626;1,08655;1,08649;1,08668;1,0863;1,08659;1,08662;1,08663;1,08677;1,08682;1,08672;1,08678;1,08648;1,08655;1,08658;1,08637;1,0863;1,08604;1,08544;1,08515;1,08498;1,08467;1,08476;1,08507;1,08486;1,0849;1,0848;1,08478;1,08473;1,0848;1,08433;1,08368;1,08359;1,08366;1,08344;1,08367;1,08375;1,084;1,0838;1,08338;1,08338;1,08337;1,08383;1,08388;1,08409;1,08422;1,08434;1,08456;1,08451;1,08438;1,08476;1,0847;1,0844;1,08367;1,08373;1,08359;1,08369;1,08354;1,08382;1,084;1,08405;1,08396;1,08366;1,08365;1,08376;1,0839;1,08421;1,08388;1,08386;1,08392;1,08386;1,08391;1,08406;1,08429;1,0843;1,08451;1,08429;1,08422;1,08447;1,08445;1,08429;1,08434;1,08413;1,08446;1,08473;1,08503;1,08503;1,08506;1,08505;1,08519;1,08543;1,08547;1,08574;1,08559;1,08631;1,08645;1,08558; 
 1,0861;1,08642;1,08659;1,08714;1,08703;1,08726;1,08708;1,08735;1,08759;1,08758;1,08736;1,08712;1,08671;1,08662;1,08668;1,08662;1,08678;1,08654;1,08643;1,08663;1,08634;1,08634;1,08627;1,08626;1,08655;1,08649;1,08668;1,0863;1,08659;1,08662;1,08663;1,08677;1,08682;1,08672;1,08678;1,08648;1,08655;1,08658;1,08637;1,0863;1,08604;1,08544;1,08515;1,08498;1,08467;1,08476;1,08507;1,08486;1,0849;1,0848;1,08478;1,08473;1,0848;1,08433;1,08368;1,08359;1,08366;1,08344;1,08367;1,08375;1,084;1,0838;1,08338;1,08338;1,08337;1,08383;1,08388;1,08409;1,08422;1,08434;1,08456;1,08451;1,08438;1,08476;1,0847;1,0844;1,08367;1,08373;1,08359;1,08369;1,08354;1,08382;1,084;1,08405;1,08396;1,08366;1,08365;1,08376;1,0839;1,08421;1,08388;1,08386;1,08392;1,08386;1,08391;1,08406;1,08429;1,0843;1,08451;1,08429;1,08422;1,08447;1,08445;1,08429;1,08434;1,08413;1,08446;1,08473;1,08503;1,08503;1,08506;1,08505;1,08519;1,08543;1,08547;1,08574;1,08559;1,08631;1,08645;1,08624;1,08553; 
 1,08642;1,08659;1,08714;1,08703;1,08726;1,08708;1,08735;1,08759;1,08758;1,08736;1,08712;1,08671;1,08662;1,08668;1,08662;1,08678;1,08654;1,08643;1,08663;1,08634;1,08634;1,08627;1,08626;1,08655;1,08649;1,08668;1,0863;1,08659;1,08662;1,08663;1,08677;1,08682;1,08672;1,08678;1,08648;1,08655;1,08658;1,08637;1,0863;1,08604;1,08544;1,08515;1,08498;1,08467;1,08476;1,08507;1,08486;1,0849;1,0848;1,08478;1,08473;1,0848;1,08433;1,08368;1,08359;1,08366;1,08344;1,08367;1,08375;1,084;1,0838;1,08338;1,08338;1,08337;1,08383;1,08388;1,08409;1,08422;1,08434;1,08456;1,08451;1,08438;1,08476;1,0847;1,0844;1,08367;1,08373;1,08359;1,08369;1,08354;1,08382;1,084;1,08405;1,08396;1,08366;1,08365;1,08376;1,0839;1,08421;1,08388;1,08386;1,08392;1,08386;1,08391;1,08406;1,08429;1,0843;1,08451;1,08429;1,08422;1,08447;1,08445;1,08429;1,08434;1,08413;1,08446;1,08473;1,08503;1,08503;1,08506;1,08505;1,08519;1,08543;1,08547;1,08574;1,08559;1,08631;1,08645;1,08624;1,08593;1,08578; 
 1,08659;1,08714;1,08703;1,08726;1,08708;1,08735;1,08759;1,08758;1,08736;1,08712;1,08671;1,08662;1,08668;1,08662;1,08678;1,08654;1,08643;1,08663;1,08634;1,08634;1,08627;1,08626;1,08655;1,08649;1,08668;1,0863;1,08659;1,08662;1,08663;1,08677;1,08682;1,08672;1,08678;1,08648;1,08655;1,08658;1,08637;1,0863;1,08604;1,08544;1,08515;1,08498;1,08467;1,08476;1,08507;1,08486;1,0849;1,0848;1,08478;1,08473;1,0848;1,08433;1,08368;1,08359;1,08366;1,08344;1,08367;1,08375;1,084;1,0838;1,08338;1,08338;1,08337;1,08383;1,08388;1,08409;1,08422;1,08434;1,08456;1,08451;1,08438;1,08476;1,0847;1,0844;1,08367;1,08373;1,08359;1,08369;1,08354;1,08382;1,084;1,08405;1,08396;1,08366;1,08365;1,08376;1,0839;1,08421;1,08388;1,08386;1,08392;1,08386;1,08391;1,08406;1,08429;1,0843;1,08451;1,08429;1,08422;1,08447;1,08445;1,08429;1,08434;1,08413;1,08446;1,08473;1,08503;1,08503;1,08506;1,08505;1,08519;1,08543;1,08547;1,08574;1,08559;1,08631;1,08645;1,08624;1,08593;1,08595;1,08623; 
 1,08714;1,08703;1,08726;1,08708;1,08735;1,08759;1,08758;1,08736;1,08712;1,08671;1,08662;1,08668;1,08662;1,08678;1,08654;1,08643;1,08663;1,08634;1,08634;1,08627;1,08626;1,08655;1,08649;1,08668;1,0863;1,08659;1,08662;1,08663;1,08677;1,08682;1,08672;1,08678;1,08648;1,08655;1,08658;1,08637;1,0863;1,08604;1,08544;1,08515;1,08498;1,08467;1,08476;1,08507;1,08486;1,0849;1,0848;1,08478;1,08473;1,0848;1,08433;1,08368;1,08359;1,08366;1,08344;1,08367;1,08375;1,084;1,0838;1,08338;1,08338;1,08337;1,08383;1,08388;1,08409;1,08422;1,08434;1,08456;1,08451;1,08438;1,08476;1,0847;1,0844;1,08367;1,08373;1,08359;1,08369;1,08354;1,08382;1,084;1,08405;1,08396;1,08366;1,08365;1,08376;1,0839;1,08421;1,08388;1,08386;1,08392;1,08386;1,08391;1,08406;1,08429;1,0843;1,08451;1,08429;1,08422;1,08447;1,08445;1,08429;1,08434;1,08413;1,08446;1,08473;1,08503;1,08503;1,08506;1,08505;1,08519;1,08543;1,08547;1,08574;1,08559;1,08631;1,08645;1,08624;1,08593;1,08595;1,08578;1,08649; 
 1,08703;1,08726;1,08708;1,08735;1,08759;1,08758;1,08736;1,08712;1,08671;1,08662;1,08668;1,08662;1,08678;1,08654;1,08643;1,08663;1,08634;1,08634;1,08627;1,08626;1,08655;1,08649;1,08668;1,0863;1,08659;1,08662;1,08663;1,08677;1,08682;1,08672;1,08678;1,08648;1,08655;1,08658;1,08637;1,0863;1,08604;1,08544;1,08515;1,08498;1,08467;1,08476;1,08507;1,08486;1,0849;1,0848;1,08478;1,08473;1,0848;1,08433;1,08368;1,08359;1,08366;1,08344;1,08367;1,08375;1,084;1,0838;1,08338;1,08338;1,08337;1,08383;1,08388;1,08409;1,08422;1,08434;1,08456;1,08451;1,08438;1,08476;1,0847;1,0844;1,08367;1,08373;1,08359;1,08369;1,08354;1,08382;1,084;1,08405;1,08396;1,08366;1,08365;1,08376;1,0839;1,08421;1,08388;1,08386;1,08392;1,08386;1,08391;1,08406;1,08429;1,0843;1,08451;1,08429;1,08422;1,08447;1,08445;1,08429;1,08434;1,08413;1,08446;1,08473;1,08503;1,08503;1,08506;1,08505;1,08519;1,08543;1,08547;1,08574;1,08559;1,08631;1,08645;1,08624;1,08593;1,08595;1,08578;1,08564;1,08641; 
 1,08726;1,08708;1,08735;1,08759;1,08758;1,08736;1,08712;1,08671;1,08662;1,08668;1,08662;1,08678;1,08654;1,08643;1,08663;1,08634;1,08634;1,08627;1,08626;1,08655;1,08649;1,08668;1,0863;1,08659;1,08662;1,08663;1,08677;1,08682;1,08672;1,08678;1,08648;1,08655;1,08658;1,08637;1,0863;1,08604;1,08544;1,08515;1,08498;1,08467;1,08476;1,08507;1,08486;1,0849;1,0848;1,08478;1,08473;1,0848;1,08433;1,08368;1,08359;1,08366;1,08344;1,08367;1,08375;1,084;1,0838;1,08338;1,08338;1,08337;1,08383;1,08388;1,08409;1,08422;1,08434;1,08456;1,08451;1,08438;1,08476;1,0847;1,0844;1,08367;1,08373;1,08359;1,08369;1,08354;1,08382;1,084;1,08405;1,08396;1,08366;1,08365;1,08376;1,0839;1,08421;1,08388;1,08386;1,08392;1,08386;1,08391;1,08406;1,08429;1,0843;1,08451;1,08429;1,08422;1,08447;1,08445;1,08429;1,08434;1,08413;1,08446;1,08473;1,08503;1,08503;1,08506;1,08505;1,08519;1,08543;1,08547;1,08574;1,08559;1,08631;1,08645;1,08624;1,08593;1,08595;1,08578;1,08564;1,08543;1,08653; 
 1,08708;1,08735;1,08759;1,08758;1,08736;1,08712;1,08671;1,08662;1,08668;1,08662;1,08678;1,08654;1,08643;1,08663;1,08634;1,08634;1,08627;1,08626;1,08655;1,08649;1,08668;1,0863;1,08659;1,08662;1,08663;1,08677;1,08682;1,08672;1,08678;1,08648;1,08655;1,08658;1,08637;1,0863;1,08604;1,08544;1,08515;1,08498;1,08467;1,08476;1,08507;1,08486;1,0849;1,0848;1,08478;1,08473;1,0848;1,08433;1,08368;1,08359;1,08366;1,08344;1,08367;1,08375;1,084;1,0838;1,08338;1,08338;1,08337;1,08383;1,08388;1,08409;1,08422;1,08434;1,08456;1,08451;1,08438;1,08476;1,0847;1,0844;1,08367;1,08373;1,08359;1,08369;1,08354;1,08382;1,084;1,08405;1,08396;1,08366;1,08365;1,08376;1,0839;1,08421;1,08388;1,08386;1,08392;1,08386;1,08391;1,08406;1,08429;1,0843;1,08451;1,08429;1,08422;1,08447;1,08445;1,08429;1,08434;1,08413;1,08446;1,08473;1,08503;1,08503;1,08506;1,08505;1,08519;1,08543;1,08547;1,08574;1,08559;1,08631;1,08645;1,08624;1,08593;1,08595;1,08578;1,08564;1,08543;1,08553;1,08691; 
 1,08735;1,08759;1,08758;1,08736;1,08712;1,08671;1,08662;1,08668;1,08662;1,08678;1,08654;1,08643;1,08663;1,08634;1,08634;1,08627;1,08626;1,08655;1,08649;1,08668;1,0863;1,08659;1,08662;1,08663;1,08677;1,08682;1,08672;1,08678;1,08648;1,08655;1,08658;1,08637;1,0863;1,08604;1,08544;1,08515;1,08498;1,08467;1,08476;1,08507;1,08486;1,0849;1,0848;1,08478;1,08473;1,0848;1,08433;1,08368;1,08359;1,08366;1,08344;1,08367;1,08375;1,084;1,0838;1,08338;1,08338;1,08337;1,08383;1,08388;1,08409;1,08422;1,08434;1,08456;1,08451;1,08438;1,08476;1,0847;1,0844;1,08367;1,08373;1,08359;1,08369;1,08354;1,08382;1,084;1,08405;1,08396;1,08366;1,08365;1,08376;1,0839;1,08421;1,08388;1,08386;1,08392;1,08386;1,08391;1,08406;1,08429;1,0843;1,08451;1,08429;1,08422;1,08447;1,08445;1,08429;1,08434;1,08413;1,08446;1,08473;1,08503;1,08503;1,08506;1,08505;1,08519;1,08543;1,08547;1,08574;1,08559;1,08631;1,08645;1,08624;1,08593;1,08595;1,08578;1,08564;1,08543;1,08553;1,08537;1,08722; 
 1,08759;1,08758;1,08736;1,08712;1,08671;1,08662;1,08668;1,08662;1,08678;1,08654;1,08643;1,08663;1,08634;1,08634;1,08627;1,08626;1,08655;1,08649;1,08668;1,0863;1,08659;1,08662;1,08663;1,08677;1,08682;1,08672;1,08678;1,08648;1,08655;1,08658;1,08637;1,0863;1,08604;1,08544;1,08515;1,08498;1,08467;1,08476;1,08507;1,08486;1,0849;1,0848;1,08478;1,08473;1,0848;1,08433;1,08368;1,08359;1,08366;1,08344;1,08367;1,08375;1,084;1,0838;1,08338;1,08338;1,08337;1,08383;1,08388;1,08409;1,08422;1,08434;1,08456;1,08451;1,08438;1,08476;1,0847;1,0844;1,08367;1,08373;1,08359;1,08369;1,08354;1,08382;1,084;1,08405;1,08396;1,08366;1,08365;1,08376;1,0839;1,08421;1,08388;1,08386;1,08392;1,08386;1,08391;1,08406;1,08429;1,0843;1,08451;1,08429;1,08422;1,08447;1,08445;1,08429;1,08434;1,08413;1,08446;1,08473;1,08503;1,08503;1,08506;1,08505;1,08519;1,08543;1,08547;1,08574;1,08559;1,08631;1,08645;1,08624;1,08593;1,08595;1,08578;1,08564;1,08543;1,08553;1,08537;1,08532;1,08724; 
